channelId,model_2d,model_3d,model_real
UC6XEofw_jOSc1ne6F97NOTA,1,0,0
UC6XwBe09fowcHWMIGiaHsnA,1,0,0
UC6Zb58SYs25mnbTtR4ZAr9A,1,0,0
UC6a2zi6gEhw3-mNfrT_GpFg,1,0,0
UC6aBMidhoSScGUoUXMMGASA,0,1,0
UC6cDW3GhZkd-3tLWLLF59tg,1,0,0
UC6cgUcRa_gGsjqq3Kp6B68w,1,0,0
UC6d6-yhUQOIyqOnVmSHCCbg,1,0,0
UC6eM0HvyD4apf5BiNPQHkZQ,1,0,0
UC6eVhk2wg_MqHdLcB1kPvGw,0,1,1
UC6gcyYe_mG0h40z2dOCIkWQ,0,1,0
UC6jTN0UBKg9wmQAfUzc3brg,1,0,0
UC6jtmVEyT1oh6Lo6BdSTcBg,1,0,0
UC6kI9UelZ7W8kOOkv6gLXUA,1,0,0
UC6kg7LjrHxfJCXLCaPBZ_Rw,0,1,0
UC6pfjA6wYXSbAXOwwJbEu8g,1,0,0
UC6rvCsAl0iAV6exrFdoo7gA,0,1,0
UC6tdAl3w5AuK7W9x8iroCqw,1,0,0
UC6uqxSyfR4vnb--6vjfzU5A,0,1,0
UC6wwNiw5tthtFlPtDSlGf6Q,1,0,0
UC6xvXm1cHRefC8yaJuKBK9A,1,0,0
UC6zx4RF8AHW-oAL3SojYkNQ,1,0,0
UC705D20c7E5NTpezo75_qJQ,0,1,0
UC729_Tcmnv7_thRfdVSlk1Q,1,0,0
UC73DLMOm-BzwF-SelLSuxnw,1,0,0
UC74254idDopreMMQfNIsJFw,0,0,1
UC76YMLD18omwNehF2xfq4yA,0,1,0
UC77ZMWT-KGoGD5qI01md8cQ,1,0,0
UC7A7bGRVdIwo93nqnA3x-OQ,1,0,0
UC7Ar3UTX9pqTXZKfIO7wfVw,1,0,0
UC7BKo5Zhd58NvHlK2SBLgeQ,1,1,0
UC7D4heQdNoSzh6nC3i3b6yA,1,0,0
UC7DOWV4FbIFmwE3SYMOqctw,1,0,0
UC7E0ZB2Feiq1fWCucicTR0Q,1,0,0
UC7EJ9bOU9uPfbsfywy26siw,1,0,0
UC7EpigBTnM-prlyF0DHZdGQ,1,0,0
UC7FGLDApN_sQ8Fx3LTR5B-A,1,0,0
UC7FMDZMIFyuNxyc0ocPU_Kg,1,0,0
UC7FSigsvbXcH3qAKB8UefsQ,1,0,0
UC7GdYDv6vgIJ38Vykssq7PQ,1,0,0
UC7Gg-heUqRdJS6i_IjmsmDA,0,1,0
UC7HVETPK-PvvqHzLAvrRlug,1,0,0
UC7Il508651Gtkj-4Ca-JeZg,1,1,0
UC7MBvGkcH3bWqmyoRjLFw_g,1,0,0
UC7MKzk1xlqe9pcsae5u97VA,1,0,0
UC7MR9RVYEZzeEohsAaoz3yA,0,1,0
UC7MnCiMbUnFsvsEtrayGHxQ,1,0,0
UC7OPkXOadje491mUGcPIhAA,1,0,0
UC7Pfn1SEmphNP07g7YjeKLg,1,0,0
UC7R2tH4OhJE5Zt6L4N6bOnw,1,0,0
UC7RjPWsq86RAnfbKtLeMbmA,1,0,0
UC7Rx62saR2XRlzOepbeCiRA,1,0,0
UC7UA3GxJk4LJvCWgRqHm2TQ,0,1,0
